0.9260,0.6438
0.1339,0.8002
0.4501,0.0419
0.8707,0.9228
0.9658,0.5218
0.6983,0.7315
0.7027,0.0412
0.5545,0.1803
0.1724,0.9845
0.3210,0.9298
0.6106,0.4417
0.7785,0.1296
0.6487,0.8137
0.3609,0.9771
0.4363,0.8828
0.5912,0.6072
0.4161,0.7990
0.3127,0.8029
0.8976,0.6222
0.1859,0.2895
0.3669,0.6027
0.7034,0.1796
0.0122,0.0819
0.8733,0.5989
0.9947,0.0227
0.2910,0.1121
0.4504,0.8098
0.7384,0.4688
0.7157,0.9596
0.2119,0.1754
0.3969,0.7621
0.6273,0.7137
0.4879,0.8822
0.7130,0.8639
0.2527,0.8202
0.0277,0.4906
0.0222,0.7632
0.7329,0.7546
0.7229,0.0726
0.4914,0.7734
0.0463,0.0958
0.4100,0.4584
0.0955,0.0954
0.4915,0.4561
0.1145,0.8787
0.7264,0.2062
0.8956,0.6287
0.2639,0.8690
0.1282,0.8048
0.0185,0.3368
0.3985,0.4936
0.6755,0.8083
0.9261,0.0151
0.2507,0.8950
0.1662,0.7290
0.0910,0.8117
0.8161,0.6473
0.3660,0.1412
0.2380,0.6891
0.8317,0.5617
0.2415,0.6397
0.7940,0.5075
0.1544,0.3670
0.9441,0.6709
0.0527,0.8830
0.4807,0.3672
0.2677,0.8762
0.7394,0.9298
0.8948,0.6426
0.9965,0.8547
0.7579,0.2777
0.2487,0.3958
0.5030,0.9806
0.9727,0.5642
0.4999,0.3783
0.2110,0.6155
0.4536,0.3577
0.5747,0.4683
0.2829,0.6578
0.3511,0.5186
0.1631,0.7340
0.2757,0.3153
0.3499,0.8258
0.1953,0.4887
0.0323,0.7807
0.3073,0.8688
0.1156,0.3183
0.2163,0.5766
0.0205,0.1255
0.3019,0.5211
0.3035,0.0355
0.5011,0.2876
0.8460,0.8412
0.3913,0.8416
0.7615,0.0287
0.7527,0.5449
0.0588,0.1113
0.7695,0.3758
0.3115,0.6764
0.9922,0.8170
0.9081,0.9008
0.3843,0.8628
0.5826,0.6755
0.5642,0.7312
0.3116,0.0490
0.2439,0.4812
0.7257,0.6220
0.3061,0.6450
0.0914,0.1070
0.2867,0.4692
0.6624,0.4912
0.7900,0.1624
0.9413,0.9985
0.7236,0.1059
0.6249,0.0224
0.3698,0.3607
0.8953,0.4504
0.8388,0.2994
0.0023,0.0420
0.3245,0.8492
0.9047,0.6657
0.4401,0.4163
0.1546,0.5987
0.3985,0.9199
0.5230,0.4743
0.6300,0.8840
0.3391,0.3090
0.2236,0.5341
0.8795,0.5777
0.9543,0.8534
0.2447,0.4884
0.2349,0.1031
0.4074,0.3940
0.2356,0.0319
0.8801,0.1832
0.4779,0.7247
0.7760,0.1683
0.0424,0.2040
0.5283,0.9536
0.6936,0.8936
0.4495,0.0719
0.5898,0.6078
0.9855,0.7101
0.0895,0.5064
0.5441,0.1911
0.3349,0.0471
0.7401,0.6760
0.3416,0.3844
0.5965,0.0942
0.6434,0.0822
0.2745,0.9789
0.9364,0.8114
0.3703,0.5493
0.7689,0.4643
0.1207,0.5033
0.6824,0.7617
0.3388,0.4600
0.2585,0.7814
0.8057,0.4776
0.4705,0.2325
0.9357,0.5796
0.1916,0.4156
0.3020,0.6297
0.5600,0.1595
0.3557,0.2586
0.8205,0.2020
0.4111,0.1546
0.6228,0.7638
0.0063,0.8765
0.8877,0.1993
0.2426,0.0549
0.5170,0.8179
0.4119,0.3081
0.1618,0.2757
0.5919,0.6049
0.6562,0.0432
0.2079,0.8675
0.6375,0.8036
0.2338,0.7504
0.2900,0.2035
0.3154,0.7268
0.6130,0.2694
0.8026,0.4351
0.2267,0.6224
0.7304,0.2051
0.0341,0.7710
0.0377,0.3858
0.7150,0.4121
0.7342,0.4398
0.8507,0.2434
0.4541,0.9937
0.3508,0.3697
0.3033,0.8197
0.5666,0.7240
0.4041,0.0049
0.3065,0.5859
0.6028,0.3068
0.1339,0.7051
0.9910,0.7777
0.7474,0.8241
0.1924,0.5999
0.7777,0.1998
0.0697,0.0777
0.9416,0.0012
0.2398,0.8917
0.4564,0.3764
0.2667,0.1714
0.8037,0.8494
0.2321,0.8098
0.6453,0.5377
0.4495,0.8612
0.9674,0.0194
0.3129,0.8386
0.1331,0.5549
0.4294,0.1225
0.9763,0.9650
0.1926,0.9851
0.3550,0.0601
0.6055,0.3902
0.6490,0.2238
0.6663,0.6545
0.2089,0.1236
0.9342,0.6288
0.6342,0.7208
0.8995,0.3752
0.3925,0.1205
0.3706,0.2384
0.1551,0.9697
0.0629,0.2310
0.6996,0.9445
0.2979,0.5741
0.5199,0.9685
0.8085,0.4715
0.2787,0.6732
0.8846,0.5030
0.5094,0.3036
0.2584,0.1749
0.8412,0.8652
0.9728,0.1763
0.6636,0.2985
0.0337,0.0386
0.3081,0.8527
0.5397,0.3783
0.3493,0.5626
0.8091,0.7416
0.6477,0.8409
0.0155,0.3293
0.7102,0.9429
0.5986,0.6011
0.7291,0.4931
0.1837,0.8154
0.3007,0.6598
0.0482,0.0668
0.5964,0.7345
0.8251,0.1013
0.8740,0.0099
0.1235,0.7889
0.9848,0.6396
0.7755,0.6158
0.5956,0.7593
0.7103,0.4243
